,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,videoId
0,2021-11-02T23:15:56Z,UC52X5wxOL_s5yw0dQk7NtgA,Yahoo is latest foreign tech firm to leave China,"Yahoo Inc. says it has pulled out of China, citing an ""increasingly challenging business and legal environment."" Yahoo is the ...",Associated Press,none,2021-11-02T23:15:56Z,https://i.ytimg.com/vi/Hg8AOkiljXs/default.jpg,120,90,https://i.ytimg.com/vi/Hg8AOkiljXs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Hg8AOkiljXs/hqdefault.jpg,480,360,Hg8AOkiljXs
1,2021-11-02T22:24:45Z,UC52X5wxOL_s5yw0dQk7NtgA,Policing a key issue as Seattle chooses new mayor,"Seattle voters are choosing a new mayor and policing is a key issue in the race, months after calls to defund the police department ...",Associated Press,none,2021-11-02T22:24:45Z,https://i.ytimg.com/vi/KfL9Nd8wTx4/default.jpg,120,90,https://i.ytimg.com/vi/KfL9Nd8wTx4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KfL9Nd8wTx4/hqdefault.jpg,480,360,KfL9Nd8wTx4
2,2021-11-02T21:50:14Z,UC52X5wxOL_s5yw0dQk7NtgA,Cargo plane wreck recovered from ocean off Hawaii,The National Transportation Safety Board has recovered the wreckage of a cargo plane that crashed into the ocean off Hawaii on ...,Associated Press,none,2021-11-02T21:50:14Z,https://i.ytimg.com/vi/XuGwSPDDN4k/default.jpg,120,90,https://i.ytimg.com/vi/XuGwSPDDN4k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/XuGwSPDDN4k/hqdefault.jpg,480,360,XuGwSPDDN4k
3,2021-11-02T21:37:13Z,UC52X5wxOL_s5yw0dQk7NtgA,"Rising temps, overgrazing cause Russia desertification","Due to its northern latitudes, experts say temperatures in Russia are warming at twice the global average, putting many of its ...",Associated Press,none,2021-11-02T21:37:13Z,https://i.ytimg.com/vi/-AmNo8HTMOg/default.jpg,120,90,https://i.ytimg.com/vi/-AmNo8HTMOg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-AmNo8HTMOg/hqdefault.jpg,480,360,-AmNo8HTMOg
4,2021-11-02T21:15:28Z,UC52X5wxOL_s5yw0dQk7NtgA,Trudeau urges global carbon pricing at COP26,Canadian Prime Minister Justin Trudeau urged world leaders to negotiate a minimum price on carbon pollution at the COP-26 ...,Associated Press,none,2021-11-02T21:15:28Z,https://i.ytimg.com/vi/Sg1yUXfjVog/default.jpg,120,90,https://i.ytimg.com/vi/Sg1yUXfjVog/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Sg1yUXfjVog/hqdefault.jpg,480,360,Sg1yUXfjVog
5,2021-11-02T20:02:30Z,UC52X5wxOL_s5yw0dQk7NtgA,AP Top Stories November 2 P,"Here's the latest for Tuesday, November 2nd: President Biden pledges to reduce methane gases; Palestinians reject offer to end ...",Associated Press,none,2021-11-02T20:02:30Z,https://i.ytimg.com/vi/w2ui6_ePF1M/default.jpg,120,90,https://i.ytimg.com/vi/w2ui6_ePF1M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/w2ui6_ePF1M/hqdefault.jpg,480,360,w2ui6_ePF1M
6,2021-11-02T18:26:59Z,UC52X5wxOL_s5yw0dQk7NtgA,New sequoias take root after fire guts giant trees,Recent wildfires have killed thousands of California's giant sequoias. Now a nonprofit is planting the offspring of one of the world's ...,Associated Press,none,2021-11-02T18:26:59Z,https://i.ytimg.com/vi/eyADDiJWG0s/default.jpg,120,90,https://i.ytimg.com/vi/eyADDiJWG0s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eyADDiJWG0s/hqdefault.jpg,480,360,eyADDiJWG0s
7,2021-11-02T17:54:57Z,UC52X5wxOL_s5yw0dQk7NtgA,Britain&#39;s Prince Charles urges climate action,"Speaking at the COP26 conference in Glasgow, the Prince of Wales said that humanity has tested the world to destruction and ...",Associated Press,none,2021-11-02T17:54:57Z,https://i.ytimg.com/vi/h3aZMqOVgEg/default.jpg,120,90,https://i.ytimg.com/vi/h3aZMqOVgEg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/h3aZMqOVgEg/hqdefault.jpg,480,360,h3aZMqOVgEg
8,2021-11-02T17:48:04Z,UC52X5wxOL_s5yw0dQk7NtgA,"Cardinal Dolan blessing of the animals, Rockettes",Cardinal Timothy Dolan kicked off the holiday season by blessing the animals that will be featured in the Radio City Music Hall's ...,Associated Press,none,2021-11-02T17:48:04Z,https://i.ytimg.com/vi/_B56Ov9lYIM/default.jpg,120,90,https://i.ytimg.com/vi/_B56Ov9lYIM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_B56Ov9lYIM/hqdefault.jpg,480,360,_B56Ov9lYIM
9,2021-11-02T17:37:11Z,UC52X5wxOL_s5yw0dQk7NtgA,Prosecutor: Rittenhouse provoked shootings,"Opening statements have begun in the murder trial of Kyle Rittenhouse, who shot three people during a protest against racial ...",Associated Press,none,2021-11-02T17:37:11Z,https://i.ytimg.com/vi/TWnE-0xZcJI/default.jpg,120,90,https://i.ytimg.com/vi/TWnE-0xZcJI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TWnE-0xZcJI/hqdefault.jpg,480,360,TWnE-0xZcJI
