,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,videoId
0,2021-11-02T23:58:34Z,UC8p1vwvWtl6T73JiExfWs1g,Early results coming in from Virginia governor race,"Polls have closed in Virginia, and votes are beginning to come in for Democrat Terry McAuliffe and Republican Glenn Youngkin.",CBS News,none,2021-11-02T23:58:34Z,https://i.ytimg.com/vi/zaU8-oOT5qM/default.jpg,120,90,https://i.ytimg.com/vi/zaU8-oOT5qM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/zaU8-oOT5qM/hqdefault.jpg,480,360,zaU8-oOT5qM
1,2021-11-02T23:45:44Z,UC8p1vwvWtl6T73JiExfWs1g,"Eric Adams, Curtis Sliwa vie for NYC mayor seat",Democratic candidate Eric Adams and Republican Curtis Sliwa are running for New York City mayor. CBS New York's chief ...,CBS News,none,2021-11-02T23:45:44Z,https://i.ytimg.com/vi/0_kAqa16ebI/default.jpg,120,90,https://i.ytimg.com/vi/0_kAqa16ebI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0_kAqa16ebI/hqdefault.jpg,480,360,0_kAqa16ebI
2,2021-11-02T23:45:56Z,UC8p1vwvWtl6T73JiExfWs1g,"GOP, Democrat strategies in 2021 elections may signal what&#39;s ahead in midterms","Republicans in gubernatorial races have focused on education and the economy, while Democrats in local races wait to see how ...",CBS News,none,2021-11-02T23:45:56Z,https://i.ytimg.com/vi/Q4XjK2Z88rQ/default.jpg,120,90,https://i.ytimg.com/vi/Q4XjK2Z88rQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Q4XjK2Z88rQ/hqdefault.jpg,480,360,Q4XjK2Z88rQ
3,2021-11-02T23:21:53Z,UC8p1vwvWtl6T73JiExfWs1g,Ohio special congressional elections,Democrats and Republicans are both pledging victories in two special congressional elections in Ohio. Statehouse News Bureau ...,CBS News,none,2021-11-02T23:21:53Z,https://i.ytimg.com/vi/bzWztHAq5oo/default.jpg,120,90,https://i.ytimg.com/vi/bzWztHAq5oo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bzWztHAq5oo/hqdefault.jpg,480,360,bzWztHAq5oo
4,2021-11-02T22:51:00Z,UC8p1vwvWtl6T73JiExfWs1g,Boston to elect first woman mayor in historic race,The city of Boston is on the verge of making history as it will choose a woman of color to be its next mayor. CBS Boston's political ...,CBS News,none,2021-11-02T22:51:00Z,https://i.ytimg.com/vi/TkNQUFOLXGE/default.jpg,120,90,https://i.ytimg.com/vi/TkNQUFOLXGE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TkNQUFOLXGE/hqdefault.jpg,480,360,TkNQUFOLXGE
5,2021-11-02T22:49:48Z,UC8p1vwvWtl6T73JiExfWs1g,Voting underway in New Jersey gubernatorial election,"CBS News political reporter Adam Brewster joins CBSN's ""Red & Blue"" to discuss the latest in New Jersey's gubernatorial election ...",CBS News,none,2021-11-02T22:49:48Z,https://i.ytimg.com/vi/YAfo7IgR4oo/default.jpg,120,90,https://i.ytimg.com/vi/YAfo7IgR4oo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YAfo7IgR4oo/hqdefault.jpg,480,360,YAfo7IgR4oo
6,2021-11-02T22:48:30Z,UC8p1vwvWtl6T73JiExfWs1g,Ciattarelli polls ahead of Murphy on tax issues in New Jersey gubernatorial race,Polls close Tuesday night in New Jersey's gubernatorial race. Government and politics professor at Fairleigh Dickinson University ...,CBS News,none,2021-11-02T22:48:30Z,https://i.ytimg.com/vi/ONMiXH-6Mc8/default.jpg,120,90,https://i.ytimg.com/vi/ONMiXH-6Mc8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ONMiXH-6Mc8/hqdefault.jpg,480,360,ONMiXH-6Mc8
7,2021-11-02T20:40:25Z,UC8p1vwvWtl6T73JiExfWs1g,Biden holds news conference at COP26 climate summit: Special Report,President Biden took questions from reporters as he wrapped up his appearance at the U.N. climate summit known as COP26 in ...,CBS News,none,2021-11-02T20:40:25Z,https://i.ytimg.com/vi/l7LLuPpjUqw/default.jpg,120,90,https://i.ytimg.com/vi/l7LLuPpjUqw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/l7LLuPpjUqw/hqdefault.jpg,480,360,l7LLuPpjUqw
8,2021-11-02T20:16:23Z,UC8p1vwvWtl6T73JiExfWs1g,World leaders convene in Glasgow for COP26 climate summit,"Around 120 world leaders, including President Joe Biden, are gathered in Glasgow to finalize rules pertaining to the Paris ...",CBS News,none,2021-11-02T20:16:23Z,https://i.ytimg.com/vi/GzW0KT6ffQc/default.jpg,120,90,https://i.ytimg.com/vi/GzW0KT6ffQc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/GzW0KT6ffQc/hqdefault.jpg,480,360,GzW0KT6ffQc
9,2021-11-02T20:14:12Z,UC8p1vwvWtl6T73JiExfWs1g,What issues have Virginia and New Jersey governor&#39;s races focused on?,"On Election Day, most eyes are on the close governor's race in Virginia between former Democratic Governor Terry McAuliffe and ...",CBS News,none,2021-11-02T20:14:12Z,https://i.ytimg.com/vi/y-jzJZPT3C8/default.jpg,120,90,https://i.ytimg.com/vi/y-jzJZPT3C8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/y-jzJZPT3C8/hqdefault.jpg,480,360,y-jzJZPT3C8
