rating,title,user,user_link,time,comment
5," So very Meh...
",tommy-97761,/user/ur150551506/,28 February 2023,"I am very glad that I skipped the cinema and opted to wait for a VOD release. Though there definitely were good moments, overall the movie feels bland, formulaic, drawn, long, BORING.There are absolutely no stakes in these movies anymore and hence the actionscenes are just redundant. Though the characterwork is still better, but I feel like the Marvel movies are on a trajectory towards Transformers. Basically just colorfull fluff to fill the time when you happen to find yourself on a flight but nothing esential, even if you are a comicbook fan. I mean, bullets no longer pose a threat, not only when wearing the Black Panter costume but to the dora milaje either. One person receives a pretty much fatal wound and acts like it's nothing at all, just a fleshwound. If no-one is in any kind of danger, then why should I as a viewer be interested in anything that happens?"
10," 2nd highest grossing Marvel film in 2022 for a reason
",BlackEden,/user/ur30300801/,28 February 2023,"Despite the rac*st and m*sogynistic reviews, this film surpassed every other Marvel movie that came out this year, except Dr Strange, in gross revenue! The reason being? It was fantastic!As someone who isn't normally a fan of Marvel or simple action movies, I thought this was a really well done film. So much detail went into creating an alternative world, taking a lot from African cultures before they were devastated by European c0lonialism. The costumes were also well researched, culturally relevant, innovative, and beautiful.I also really appreciated the detail that went into the Talokan tribe, with many references from Mayan art and attire. My only issue with them was that after so many years of living underwater, the people could have at least evolved webbed feet and fingers by then. It didn't pull away from the movie though - that's just my sci fi nerd nitpicking.The cast was great! I like how this movie focused more on strong black women - hardly any movies do this. They produced some great fight scenes and provided some humour woven throughout the story. There were some deeper meanings behind a lot of the scenes, especially as they relate to historic and contemporary parallels of wh*te supremacy (loved it when they made the European c0lonizers kneel - great parallel to Kaepernick's activism in real life).Overall, I was never bored and enjoyed watching this movie. Action, comedy, and heartbreak were all wrapped into one cohesive film. I'm excited to see the next chapter!"
5," Waterlogged and lost
",valorousjames,/user/ur83530766/,27 February 2023,"The film moves far too slowly with fruitless exposition on loss and the evils of colonialism. It's bloated runtime makes it a painful watch that barely holds your attention. The lack of a strong central personality to provide cohesion and direction rather than what feels like a revolving door of ancillary characters in mourning slowing the plot to a crawl. New addition Riri Williams as Ironheart was a big miss for the film. When introduced she is arrogant and unlikeable, but quickly she becomes a flat and boring macguffin. Her final costume design is also laughably bad when compared to how great all the other costume and design choices were in the film. Perhaps, in my opinion, the biggest missed opportunity is Namor and his people. Making them a derivative of a native Mexican culture rather than being true to the source material or creating a new and novel civilization comes across as a forced agenda driven decision rather than a true artistic endeavor. The choice was clearly made to have exposition on the evils of colonialism. This exposition is lost on or moot for much of the target audience. Agenda as a plot device has become tiresome and exceedingly shallow at this point particularly when it detracts from the quality of the end product as I feel it did here. I firmly believe that faithfulness to the comic Namor or had they broke new ground would have served the film tremendously. Aside from that personal quibble I did like Tenoch Huerta in the role. He very much grabbed my attention when he was oncscreen, but not as much as M'baku(Winston Duke) who is a scene stealer. It really hurt the film that he has so much more screen presence than Shuri(Letitia Wright) or the Queen Romonda(Angela Bassett). Queen Romonda does have a few strong moments on her own to be fair. Now the problem of the final act. It is beyond lackluster. It has no honest drama to pull you in. It just does not do a good job making you believe that there is much riding on this final confrontation. I also lacks a lot of the fun eye candy in which Marvel films tend to excel. Finally, the worst issue for this film is nothing with it per se, but more the presence of who is not there. The loss of Chadwick Boseman was awful, and I truly wish he could have reprised his role as T'Challa. His memory haunts this film terribly. There are many moments of reflection and questioning how to go forward without him causing characters throughout to be directionless and unmotivated. Loss is a major point of the film's message, but unfortunately it puts a nearly insurmountable hurdle in the way of the story. Without Chadwick Boseman I fear that the Black Panther franchise may be irrevocably wounded without his strong endearing screen presence."
4," Plodding
",cstruvemd,/user/ur52334276/,27 February 2023,"I will let the title summarize it but my true contribution to this thread will be a simple observation. Before I watched it, I read ALOT of the reviews by people on this site. I have never seen so many 5-6s with words that would normally reflect 3 or lower. Its as if no one is willing to say the obvious, namely that this movie is just not that good (like almost all of Phase 4). Ultimately I think everyone at Marvel struggled to deal with Boseman's death and how to pay tribute without allowing his death to overshadow the entire movie. I would point to one user's comment that they should have waited longer but of course Marvel cant do that. My $0.03 (inflation you know) would be to pass it on by if you didnt like Phase 4. I certainly wouldnt pay real money to see it."
7," Wankada Forever has a lot going on
",Entertainmentsparadise,/user/ur131752399/,27 February 2023,"Upon my initial watch of Wakanda Forever, I was slightly underwhelmed, coming in with no expectations. However, the film had a lot to tackle in a short two and half hours long movie. It did appeal heavily to emotions. Of course, the film focus on the mourning of T'Challa. But it also has an arduous task of attempting to fill those shoes and introduce us to a new world and antagonist. All of which can serve as a stand-alone central theme for a movie. With that being said, I had a tough time grappling with the development of the plot, the main issue, and how it all culminated. Unfortunately, the revenge aspect was the least convincing arc of this film.What stood out to me was the disrespect to tradition and the illogical methods afterward.Although some critiques ultimately led me to compare my feelings for the original Black Panther film, there were also some good ones.As I mentioned earlier, the emotions were on point. Angela Bassett acted her ass off in this movie. Also, what's a Marvel movie without a cameo or introducing a new character from the universe? Also, did we finally hear the word ""Mutant"" in the Marvel cinematic universe?Ultimately Wankada Forever has a lot going on; it thrives by including representation and political aspects while also incorporating three challenging elements of mourning, development, and integration. While that's positive, it is also a fault; I left the movie feeling underwhelmed by what I watched. I feel this is the filler movie that needed to tie up loose ends and project us into the next sequence. The ending credit scene was the icing on the cake. Therefore I rate Wakanda Forever a 7/10 3.5
Long live the King."
4," Lose an hour and it may have worked
",wms59,/user/ur0821805/,27 February 2023,"Made the mistake of choosing this for a family movie night. I found the whole thing dragged interminably along and should have had tighter direction, and losing around an hour in the process.It was interesting that when discussing it with the rest of my family afterwards, we all had similar thoughts on the script and direction.Interestingly we thought the acting was, with a few exceptions, fine, it was just the material they had been given that was suspect.Although we realise that a main thrust of the story was on the family dynamics as they come to terms with recent events, it did seem as though actors such as Martin Freeman were woefully under-utilised; to the point where they could have been written out altogether with no change to the story.."
1," Worst mcu movie
",zraw,/user/ur80330868/,27 February 2023,"I've seen every mcu movie and show to date. They handled Chadwick's passing horribly and didn't give him or his character justice huge let down to be completely honest, I had very high hopes for the film hoping it would be a great addition and keep his name alive but they should've just let him and his stand alone move stay at its place where it was and not soil another name In the mcu with a terrible filler movie will not be watching again. For this to be the only movie I won't watch from the mcu twice says great deals because I give plenty of films the benefit of a doubt and even a second chance but this movie is not it I'd go back and watch the first two Thor films again before I was this very big let down from marvel since Chadwick had such a big impact on so many myself included."
3," Bloated and Unfocused Mess
",PartTimeCritic,/user/ur162720103/,26 February 2023,"THE BLACK PANTHER: WAKANDA FOREVER (C-) is a bloated film hobbled and rendered relatively inert by trying to serve far too many ends. First and foremost, Ryan Coogler wants this to be a serious and high-minded superhero film: it plays with heavy themes of imperialism & vengeance, includes plenty of long sit down talks about those themes, and checks off almost every desire for a diverse cast. Second, the film tries to be a sequel to ""Black Panther"" despite the hole left by the deceased Chadwick Boseman. Lastly, the film tries to be part of the wider MCU, introducing new kingdoms and characters to the ongoing MCU story. The three never fully mesh and often act against each other. The high minded part of the film thankfully gives us some beautiful and imaginative art direction as well as a great musical score, but it unfortunately just feels like a rehash of the same questions the first one brought up. It bloats the film and cuts off any of the fun spectacle that the second two goals were trying to accomplish. On that second goal, the film is just not able to replace the charisma that Boseman brought. Shuri is a nice secondary character, but whether its due to the writing/direction/performance, she just isn't as compelling, decisive, or believable as a main. Lastly, having to conform to the formula of an MCU film often led to those serious sequences being undercut by a dumb and subpar, but mandatory as an MCU film, action sequence. I'd be a bit more forgiving of the attempt to be serious if there was much interesting in what the film was trying to says. In one example, we have a serious moment between the Queen and Shuri (who is a strong scientist) where Shuri doubts her mother's belief that the passed away T'Challa is in the wind like she is experiencing. I thought, maybe the film will be an interesting discussion of science vs. Faith that will have ramifications for the MCU...but Shuri eventually takes the same ""protector liquid"" that takes people to the ancestral plane and is just proved wrong. No thoughtful discussions here - the decision to keep the MCU intact wins out. Another example, but going the other way is a moment where Shuri has her new strength (from the protector liquid) and puts on the Black Panther suit and like a strong main character she is dropped right into the middle of the discussion of whether to go to war with Namor and his tribe. This conversation feels like it goes on and on and gets bogged down with the seriousness and moral ambiguity the director wants for the film. This should have been an easy decision in the MCU direction - you partner Shuri's first appearance with the black panther suit with a triumphant black and white ""I'm the new blank panther moment"" audience cheer, not with a drawn-out ambiguous war discussion. But that didn't happen because Coogler wants Shuri to be wrong here - driven by vengeance and the real problem is not with the misunderstandings between the two noble oppressed groups, but with the devious American imperializers. Think about this encapsulation of the film, we essentially get the female reboot of Iron Man in this film and it's this throw away storyline that the film really doesn't care about and is so generic that I literally could write, ""black female college student that is high tech smarter than others"" and you'd know pretty much everything about her the film wants to tell us. I wasn't a big fan of the first Black Panther film, but at least that one was more focused and anchored with by Bosewick's moral integrity. This one is a mess."
5," Mediocre, below bad.
",dsilvamontanha,/user/ur150314900/,26 February 2023,"Look, to begin with, one thing that bothered me watching this movie was, they did not reveal the reason for the death of the panther, I know that everyone knows the reason for the death of the actor, but I believe that it would not cost to invent a dignified death for the character, and not just say he just died for unknown reasons. And now talking about the direction I find such a mediocre corner, fight scenes that are not cool or fun, some epic moments and the action scenes have many unnecessary cuts. And now talking about the story, it's interesting, about how wakanda is a superpower, but a defect is that if wakanda is a superpower then why didn't it just go and kill namor and his army at once, and why talking about namor, the villain of this movie is not that interesting story nice but not gripping, and there is a part of the movie that namor could have destroyed and killed everyone there, and I wonder why he didn't! And then he comes with a story that he's going to take some time to bring his army to destroy wakanda, no, that's serious!! In summary, it's but a bad Marvel movie that made a lot of money and that didn't please and didn't even have the result that many imagined it would have."
4," The ultimate sub-par sequel
",tarushin,/user/ur75766783/,26 February 2023,"This is a not so short and not so sweet review ... ;)This sequel was very underwhelming , the story is very very confused . It tries really hard to force many uninteresting stories !The lead actors were unable to really cary the story . It feels very much like an episode of a series where the lead actors are on vacation and the supporting cast steps in to tell the story - which is understandable due to the absence of Chadwick. The movie goes to great lengths to honour Chadwick , which is commendable ,but lingers a little too long , 3 ardeous hours too long. In my humble opinion , I feel a more appropriate way to honour the brillance of the man would simply have been to make a better movie . Sadly this just doesnt cut it and that is the REAL tragedy of this movie.The story drags and the action is a bit of a yawn to be honest. I dont understand how you can go from creating Avengers Endgame , possibly one of the greatest action flicks of recent times , to this half baked attempt ; possibly one of the worst movies of recent times . It is truly really puzzling!The final nail in the snoozefest cofin is the villain who is a merman Aztec from the deep sea for some reason ? Without giving away any spoilers , the action sequences which follow after the introduction of this character are truly laughable.All in all its long ,boring , unintersting , muddled, confusing and quite frankly a huge let down. The most interesting 5 minutes is when Michael B Jordon makes an appearance. His cahrisma and screen prescence instantly elevates the material , albeit briefly.In my opinion save yourself 3 hours of agony , honour Chadwick and go watch the first Black Panther to get your action fix !"
