rating,title,user,user_link,time,comment
4," Good fights, terrible screenplay
",guilhermevieira-19536,/user/ur78398492/,1 March 2023,"The movie has good battles and fights but wasted a really good chance to be the best of the trilogy considering Kang's as the villain. Instead of focus on antman and the wasp they've chosen to highlight Cassie's character and made it extremely annoying, although the screenwriters probably wanted to show a empowered young girl. Her lines were terrible all the way.Another key point was the unknown reason why Janet said nothing about what happened to her while in the Quantum Realm? It made no sense to hide it.The movie is a mixed bag with a lot of lost opportunities, poor screenplay, good action scenes and almost no final result."
8," Marvel hunkers down
",NestorTheGreat,/user/ur54687345/,1 March 2023,"Marvel hunkers down with its Multiverse theme and begins its Phase Five chapter of the MCU with a complex story of time. As the title suggests, the majority of the film involves the quantum realm where time and space are diluted and distorted the further ""down""you go. It's 1989's Honey, I Shrunk the Kids with much more magnification, so a dust particle in that version is a floating Everest in the, umm, quantumverse. How human-like entities live and have built a bustling city there is a whole other movie! How Kang and Janet knew each other for most of her time there, and how Kang ended up there is what this film elaborates, in bright, flashy colour!But, if you take away all the gorgeous green screen, ignore the setting and background, the marvelous suprise actors that appear, and the mesmorizing portrayal of Kang, you are left with a story about a daughter and her father. Cassie Lang is all grown up now, trying to make up for all those (5) years her dad and the Pym's went missing, either from the blip or lost in the quantum realm or in jail. Her father, Antman, is her hero above all other Avengers. And a lesson he taught her in the very first Ant-Man appears in action in this film. But the fame has gone to her dad's head, and he fails to see her achievements.All the while, Janet and Kang's backstory is revealed in flashes while our heroes, separated in the universe inside our world, face one danger after another. As Janet races to save her granddaughter, who is on the run with Scott, Dr. Hank begins to see his wife in a new light as her past catches up with them.A great entry into the majestic storytelling arc of comic books to film transition. I never forget the first Comic Books that caught my attention as a child were the ones based on mythologies - which we were learning at the time in school. So the Viking myths of Thor, the monsters and trails of the Odyssey, Hercules' strength and valor, and the power of morals all told in coloured boxes and speech bubbles are now portrayed by great actors and production crews, and yet the ideas, emotions and beliefs are still there under the bright lights and big bangs! That's what elevates Marvel movies, in my opinion.The filmmakers behind these 31 superhero films have solved the puzzle of keeping seats in butts, or vice versa, as the longer these films become, the longer we can sit through them without a break- toilet or distractions of any kind (smart phones)! I found the balance between dialogue/exposition, action sequences, and comedic breaks perfectly balanced to draw my attention back to the story just as I was phasing out. Maybe I was having a good attention day, too! For a minute or two I was trying to figure out where Cassie's Kathryn Newton was recognisable from, and it was two series I'd seen: Big Little Lies and, the lacklastre Netflix 'Lord of the Flies'-type show: The Society.The soundtrack was another surprising quality that at first I thought a let down, but rejoiced at the decision to keep it less Guardians and more original soundscapes by the end of the film. It balanced the here and there elements by using the trailer's Elton John anthem during the normal ""here"", and funky or jazzy sounds in the quantum ""there"". And even in the quantum realm, it seems, bands are formed and positions taken, like a Mad Max film, and not just the costumes!A nod to AntZ and Avatar, I'm sure, were made throughout the telling of this tall tale by the Yes Man & New Girl director Peyton Reed, his now-known style seeping through the screen. As the second trailer showed, when a good dad is worth fighting for, the good daughter steps up. The man being swallowed by the ant vortex mountain and saved by his loving daughter's outreached hand says more than a million novels could express, in whichever universe you can imagine!And this brings me to what I like to call: Multiverse for Dummies. Scientifically speaking, we are vibrating, humming, and energy-filled atoms that create a type of force field around each molecule, so in essence, around our whole being. By creating energy, we are simultaneously creating our own unique snail trail and projecting our ""future"" path. As time is irrelevant, because we only count the girations of the Earth around the Sun: this sun, our sun, not another; then by scientific standards, it could very well be possible to create two diverse paths when, for example, one is faced by a dilemma. One path is created to represent option one, and another to represent option two. This theory exponentionally creates infinite probabilities and/or paths. Is the thought or the intention the creators of this energy trail? So, a multiverse for one person could be every decision and branch thereof they've ever had, from what cereal to eat to whether they should marry or not. Each branch then has branches of its own, and each one to the tiniest twig has a different version of you. And by this theory of mind creating matter, there may even be a spaghetti fingers universe or a jelly pudding one, like other films have suggested. Kang has many versions of himself spread out through infinite branches, and some of them jailed this film's version in the tiny, microscopic quantum realm. The Disney series, Loki, may shed more light on this matter.As a stepping stone towards a great many more multiverse-opening films, this feels safe. A comfortable place to begin considering the possibilities that by deleting and pasting timelines into the already complex Cinematic and Disney Series Universe, we may see a new X-men, Deadpool, Thunderbolts, Blade and, even, the Fantastic Four back for more great stories. And as we know, as one story ends, another is about to begin."
4," If I were to review the first twenty minutes of this movie
",IWasKnownAsThe1SentenceReviewer,/user/ur135925400/,1 March 2023,"If I were to review the first twenty minutes of this movie (which is more than enough to give the audience a glimpse of the very average movie they are going to have to sit through), I would write the following:Firstly, the opening scene makes no sense; the female character is aware of a possible lethal danger and yet choose to stand in the open ""waiting"" for the predator to come to her instead of hiding and aiming at it/them; just like every other action movie, the hand piece gets somehow ""knocked off"" her hand without any injury.Secondly, the ""utterly-basic"" setting for the movie's plot and the average CGI of the characters ""falling"" in the QuantumVerse is quite disappointing.But again, that's just if I stopped watching this evidently unnecessary umpteenth MCU film."
6," It's alright, nothing too good or bad
",kenc-05236,/user/ur128794129/,1 March 2023,"Idk this movie is perfectly passable for me. On its own merits it an alright movie that doesn't do anything that exciting ( except that paradoxal scene, that was good). Also like most of the mcu
lately, the humor really doesn't work for me. I get that they're already in the quantum-verse but like halfway through I kind of forgot that his power is literally skrinking/growing. It doesn't have the a scene that showcase his powers like the train or bathtub scene in the first antman movie.Also within the mcu you could have got you needed just from 2 sentences about Kang. He's a powerful conquerer that's has highly advanced tech. Also sidenote why does every character take off their helmet constantly for only like 10sec to show their fave."
8," Fun & Underrated - better than you think!
",furatceylan,/user/ur34373185/,1 March 2023,"Ant-Man & the Wasp Quantummania came a late to my region, so I had to suffer through some spoilers and people´s opinions on it.When I then went to see it, I couldn´t believe how good it actually was.I will explain without giving any spoilers:
First of all it gives a glimplse into Scotts and Hopes life without doing too much heavy lifting as some of the Disney Series did (Falcon & Winter Soldier, Hawkeye) - makes sense, since they have a lot more time to do so.Second it´s an Ant-Man movie, so it is quite fun - I had to LOL a few times in the theater.Third and most important, there is a strong story centered around Ant-Man, Hope, Cassie and most importantly - Kang.Kang is the big bad here and it is shown from different angles why he is such a good Thanos-Level-Villain.Simply put, he can control time and erase timelines - what Thanos tried to do with a single (616) universe, Kang did with countless universes, which he erased (aka. Destroyed) to achieve his goals. And he knows how powerful he is and how he can use his power to get what he wants.And here are the problems: We never get a proper explanation for WHY he does it, since when, when it all started. Sure, he thinks his variants are doing a bad job and are like chaotic little children in his eyes, but when did he start? Why did he start? What is what he lost? What´s his big motivation?I think the biggest problem of the movie can be summarized as: it is too compact to properly show the story!However, does this make a bad movie?Hardly, no, because this is Marvel. It´s just the first Phase 5 movie and there will be many to fill in the gaps, most important Loki season 2."
5," Ant-man in the Cgimania
",jack_o_hasanov_imdb,/user/ur55640799/,28 February 2023,"I was waiting for this movie, but I wasn't excited. Honestly, it was a worse movie than I thought. First of all, the movie was very boring. I am really bored. Cliches abound in the movie. The jokes weren't funny. The quantum universe wasn't bad, but plenty of cgi wasn't enjoyable to watch either. Acting was ok. I think Jonathan Majors played very well. But Kang was known as the new Tanos. I don't think it's the right decision. The character should have been written better. Kathryn Newton is introduced as the new Cassie. But I don't understand why the previous Emma Fuhrmann was not filmed. Kathryn Newton was no better. I mean, her acting was bad and I didn't like the character at all. Overall it was a disappointing movie. The after credits scenes weren't bad, but I wasn't too excited for the upcoming movies either."
4," One of the MCU's worst.
",drawlife,/user/ur14294603/,28 February 2023,"This threequel definitely belongs in the conversations of the MCU's worst entries. Truthfully it was kind of baffling to see just how bad this film is.As a comic-book geek I never really got on board with the MCU's approach to Ant-Man and Wasp, I would have much rather seen Paul Rudd and Evangeline Lilly play Hank Pym and Janet Van Dyne instead. Even though I'm not particularly huge on the franchise, they did have this quirk with their take on humor that appealed to many (except myself) and the smaller scale missions felt refreshing to some degree. I can commend Peyton Reed and his team trying to be different, turning it into an epic Quantum Realm adventure with some serious stakes. I was all for it, and whoever cut those trailers deserves an award for making it look and feel epic, cause it absolutely does not.Whatever the characters were going through didn't exactly feel organic. It really felt half-assed. We just left Rudd's Scott Lang and his daughter Cassie with a happy reunion in AVENGERS: ENDGAME. So to see Cassie be a rebel and a sudden genius all of a sudden was just so jarring. Speaking of Cassie, Kathryn Newton is pretty horrible in the role. I don't understand why they replaced Emma Fuhrmann. In what little screen time Fuhrmann had in ENDGAME, displaying her tears of joy for her father, felt more compelling than Newton did here. Newton's delivery is so dry and her rebellious attitude comes off as a try hard. It just didn't work for me.Also a nitpick, but why is every teen a super genius now? If they were going to make her a super genius helping the Pyms create a Quantum device that communicates a signal, then why wasn't her genius at least slightly established perviously? Oh yeah and she gets a super suit and does everything the other two can do. They should have taken a breath or two to develop all this properly showcasing Scott teaching her to be Stature, mirroring Scott's journey to becoming Ant-Man.Evangeline Lilly has nothing to do in this film and her accurate haircut isn't really doing her any favors in this one. Her father Michael Douglas is just along for the ride as well and her mother Michelle Pfeiffer has a lot more to do this time around. She does the most tropey thing ever, by not revealing information that would have helped the Ant-Family WAY earlier, claiming it was ""protection.""Jonathan Majors is the only thing in the film that had any substance. Majors also commands the screen very well and felt menacing in some regard, but yet it still didn't grip me as Brolin's Thanos or Hiddleston's Loki. A lot of that has to do with how crappy the film is. MODOK is also horribly executed. I know the character is a hard sell, BUT this iteration didn't do the character any favors. The Avengers game did a WAY better job handling the character than the MCU. The change is Corey Stoll's Darren Cross is deformed into MODOK after the events of the first film. With one interaction with Cassie he chooses ""not to be a dick"" and then has a heroic death, in which it all felt so awkward and lame. Such a waste of a villain, he was basically a one-off henchmen.I feel that Peyton Reed and writer Jeff Loveness missed out on some compelling storytelling by not following through with the premise of Scott wanting to help Kang because of the promise of being given time with Cassie back. All the Quantum Realm stuff also felt small in scale. I compare it to the first THOR film where it just took place in a town, and here there was no grandness to the Quantum Realm, aside from the freedom fighters who oppose Kang's oppression. More could have been explored in that arena.I also felt there would've been more weight to the end of the film if Scott died with Kang. I knew he wasn't going to diem but I wanted it to happen with the line ""I don't have to win, we both have to lose,"" which could have been something motivates Cassie to join the young Avengers (which it looks like they're building to) moving forward. It's as if they also had a mandate to make the film more family friendly which it seemed like they tried to aim for.The kick-off to Phase 5 isn't exactly good. I feel as though they dropped the ball, but given their track record (even though it's been meh lately) I don't think the MCU would falter by the time KANG DYNASTY and SECRET WARS comes along, as it's their big tentpole films, but I do think the MCU needs to go back to the drawing board and figure out why Phase 1-3 worked better than it does in Phase 4-5. Currently for me, only NO WAY HOME and WAKANDA FOREVER come out on top compared to the rest.4/10."
8," ""It's never too late to stop being a dick""
",synystargates,/user/ur68024636/,28 February 2023,"I try not to be a contrarian (at least intentionally) when it comes to films and I went in with pretty mild expectations because of the ratings on this so far. But Quantumania was not only an awesome experience but I think it's easily the best Ant-Man movie!Sure there's goofy dialogue, Cassie's script was doing her NO favors. But Jonathan Majors was great as a villain and the battles actually got pretty intense. I also see everyone talking about how bad the effects were, like did we watch the same movie? I loved all the wacky elements, it's closer to what I was hoping for in Multiverse of Madness, but I'm cool with a million tiny Paul Rudds too."
3," Why are MCU movies incredibly disappointing now?
",alwaysacuriousfan,/user/ur151269174/,28 February 2023,"The movie pacing is pretty bad. The characters should have been better developed so when things happen to them, we, as audiences, actually care especially with Cassie. Who even hired her? The actress has no charisma and no chemistry with the other actors, I can't get invested in her and Scott's relationship. Her face also doesn't move? She is not very expressive and the delivery of her lines is just not landing very well. I didn't see Kang as a legitimate foe. I think he was wasted in this movie. If you didn't watch Loki, one would care even less in his character. AND WHAT WAS UP WITH THAT MOVING GIANT HEAD?! That was so weird. I could not take it (?) seriously. I didn't care much for this movie. It didn't make me feel anything for the characters except, maybe, annoyance."
3," A movie created by executives not artist
",alberto-171-238815,/user/ur56766489/,28 February 2023,"really bad CGIfull of clichéspredictable scriptpolitical agendateenage girl saves de the worldteenage girl genius scientistridiculous villainscringy dad jokesIt's what happens when you let executives control a movie.... Do the most safe and predictable movie so no one loses their jobMarvel became a thing for kids, and not even kids enjoy it anymore. All movies now force writers put in a teenage girl in the story, black character, woman empowerment, Fantacy worlds and other infractions that just mess with the storyTheir new slogan should be ""we do safe movies that dont offend anyone"""
