X,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,canRate,viewerRating,likeCount,publishedAt,updatedAt,authorChannelId.value,comment_id,comment_Toxicity
0,3I0MwrU3iP0,Second guy couldn’t tell you the steps to the scientific method,Second guy couldn’t tell you the steps to the scientific method,R E B,https://yt3.ggpht.com/UOnuJhoeE0HD6l0pvxJ7mgjZ6090wd_gxUR7Ri_fZFHfUYZatoMFHbpUInHDc3De57aA-ZXHSg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_ZLzQhUXnNd3IZLFp11eug,TRUE,none,0,2022-10-31T21:32:44Z,2022-10-31T21:32:44Z,UC_ZLzQhUXnNd3IZLFp11eug,UgwkDkh8H0nQJ9793214AaABAg,0.033806015
1,3I0MwrU3iP0,First guy rules,First guy rules,R E B,https://yt3.ggpht.com/UOnuJhoeE0HD6l0pvxJ7mgjZ6090wd_gxUR7Ri_fZFHfUYZatoMFHbpUInHDc3De57aA-ZXHSg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_ZLzQhUXnNd3IZLFp11eug,TRUE,none,0,2022-10-31T21:32:20Z,2022-10-31T21:32:20Z,UC_ZLzQhUXnNd3IZLFp11eug,UgwrBgbbXjsFtPXu1hV4AaABAg,0.030859824
2,3I0MwrU3iP0,Trump Update!   Naw just kidding.  He is still sowing discord and misinformation in the Republic.,Trump Update!   Naw just kidding.  He is still sowing discord and misinformation in the Republic.,MrJessDancing,https://yt3.ggpht.com/ytc/AL5GRJVPX4oYuuVV1VKRugjMTCzLGvrU-Qq-2g8_yw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_C-ZLCHNq5PeKVG5adeZ9g,TRUE,none,0,2022-10-29T01:22:49Z,2022-10-29T01:22:49Z,UC_C-ZLCHNq5PeKVG5adeZ9g,UgzFu5dQg-Q9MHPn_vV4AaABAg,0.17631748
3,3I0MwrU3iP0,why are the Latinos in Nevada voting for people that are RACIST when do they start kicking you out of the country when you vote for the Republicans and they get in you&#39;ll start losing your rights when they  start deporting you it will be too late don&#39;t give them the chance AMERICA needs you not the RACIST,why are the Latinos in Nevada voting for people that are RACIST when do they start kicking you out of the country when you vote for the Republicans and they get in you'll start losing your rights when they  start deporting you it will be too late don't give them the chance AMERICA needs you not the RACIST,,https://yt3.ggpht.com/ytc/AL5GRJX4DUsKgmSFHgnPl7BGpFTc6GvIXXWNOaecqMfzXEHibjHogazWDCktvkWZlWEE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeFSyT6-KczXLU5Z-MSJlIA,TRUE,none,0,2022-10-21T18:29:31Z,2022-10-21T18:30:11Z,UCeFSyT6-KczXLU5Z-MSJlIA,Ugx99yBiG8JE2TiFh794AaABAg,0.6289369
4,3I0MwrU3iP0,Is this video.. a confirmed neurotic network?  Why?.,Is this video.. a confirmed neurotic network?  Why?.,al su,https://yt3.ggpht.com/ytc/AL5GRJXUK3pA-evFLX9X9wFOMM6brYu2M6vble_sX6KIyEs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9aM675ohZ_7g_yDLPPfHkw,TRUE,none,1,2022-01-16T08:01:06Z,2022-01-16T08:01:06Z,UC9aM675ohZ_7g_yDLPPfHkw,UgybJaBdJ1w7p-rQK4x4AaABAg,0.37073207
4,3I0MwrU3iP0,Is this video.. a confirmed neurotic network?  Why?.,Is this video.. a confirmed neurotic network?  Why?.,al su,https://yt3.ggpht.com/ytc/AL5GRJXUK3pA-evFLX9X9wFOMM6brYu2M6vble_sX6KIyEs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9aM675ohZ_7g_yDLPPfHkw,TRUE,none,1,2022-01-16T08:01:06Z,2022-01-16T08:01:06Z,UC9aM675ohZ_7g_yDLPPfHkw,UgybJaBdJ1w7p-rQK4x4AaABAg,0.37073207
4,3I0MwrU3iP0,Is this video.. a confirmed neurotic network?  Why?.,Is this video.. a confirmed neurotic network?  Why?.,al su,https://yt3.ggpht.com/ytc/AL5GRJXUK3pA-evFLX9X9wFOMM6brYu2M6vble_sX6KIyEs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9aM675ohZ_7g_yDLPPfHkw,TRUE,none,1,2022-01-16T08:01:06Z,2022-01-16T08:01:06Z,UC9aM675ohZ_7g_yDLPPfHkw,UgybJaBdJ1w7p-rQK4x4AaABAg,0.37073207
4,3I0MwrU3iP0,Is this video.. a confirmed neurotic network?  Why?.,Is this video.. a confirmed neurotic network?  Why?.,al su,https://yt3.ggpht.com/ytc/AL5GRJXUK3pA-evFLX9X9wFOMM6brYu2M6vble_sX6KIyEs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9aM675ohZ_7g_yDLPPfHkw,TRUE,none,1,2022-01-16T08:01:06Z,2022-01-16T08:01:06Z,UC9aM675ohZ_7g_yDLPPfHkw,UgybJaBdJ1w7p-rQK4x4AaABAg,0.37073207
5,3I0MwrU3iP0,Haha of your gonna stick anything in it better be alcohol 😂😂😂🙌🔥,Haha of your gonna stick anything in it better be alcohol 😂😂😂🙌🔥,robert loera,https://yt3.ggpht.com/ytc/AL5GRJXlrWZdiUpFnsOPeCSXYEnfDXFyRXFdPE7aSnBj-w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9rzK4InVvmWraQOnxTOwug,TRUE,none,0,2022-01-03T09:48:49Z,2022-01-03T09:48:49Z,UC9rzK4InVvmWraQOnxTOwug,UgxHfSEIIb1y5Ecexo14AaABAg,0.28547668
6,3I0MwrU3iP0,"&quot;Since obama&quot; and his 3rd term has caused crazy inflation like never seen before, no more socialist communist democrats... we all know that Obama is running joe kamala pelosi, all them BFF","""Since obama"" and his 3rd term has caused crazy inflation like never seen before, no more socialist communist democrats... we all know that Obama is running joe kamala pelosi, all them BFF",faithlilis,https://yt3.ggpht.com/eoZiEu8chpGMc_AfKnU6VME0E0adOrlGiMUY7jxMqt9xz6_RytXtaq-UOY0HtYt7xjCyTEltJw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMdmbp8ooIi4JJ7QYc9w__A,TRUE,none,1,2021-11-02T23:26:13Z,2021-11-02T23:45:22Z,UCMdmbp8ooIi4JJ7QYc9w__A,UgwmbmRt4FaSEUY2tIt4AaABAg,0.37576625
7,3I0MwrU3iP0,With partisan numbers so even republican covid deaths could make the difference next election.,With partisan numbers so even republican covid deaths could make the difference next election.,Sprig,https://yt3.ggpht.com/ytc/AL5GRJXX-sa082giP5hc9FK7ap5-Ntepv8YcvzjI8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6XJkh-lqKkN8yqGpRqe-Og,TRUE,none,0,2021-11-02T23:02:31Z,2021-11-02T23:02:31Z,UC6XJkh-lqKkN8yqGpRqe-Og,UgyYOmKmDpO8pSMDzux4AaABAg,0.112746716
8,3I0MwrU3iP0,Oops wrong state back to southern Cali!,Oops wrong state back to southern Cali!,Nathan Soto,https://yt3.ggpht.com/ytc/AL5GRJXZQmXFE3Z9Ln9dHWoCiVEvCj0DVXWYk3yzvABC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3rzNkih63DzQu1-2okwFRQ,TRUE,none,1,2021-11-02T00:33:31Z,2021-11-02T00:33:31Z,UC3rzNkih63DzQu1-2okwFRQ,Ugwpm4LOsUtTxvwSi_d4AaABAg,0.11129999
9,3I0MwrU3iP0,This about weed is not I&#39;m gone sucka!,This about weed is not I'm gone sucka!,Nathan Soto,https://yt3.ggpht.com/ytc/AL5GRJXZQmXFE3Z9Ln9dHWoCiVEvCj0DVXWYk3yzvABC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3rzNkih63DzQu1-2okwFRQ,TRUE,none,1,2021-11-02T00:32:04Z,2021-11-02T00:32:17Z,UC3rzNkih63DzQu1-2okwFRQ,UgzETU9PAJ2eDxTG1Wh4AaABAg,0.78711975
10,3I0MwrU3iP0,Illegal immigrants should enjoy themselves for next three years! Then deportation!!!!!!!,Illegal immigrants should enjoy themselves for next three years! Then deportation!!!!!!!,Bob Buresh,https://yt3.ggpht.com/ytc/AL5GRJWUXFxDKsR2FyMem2AyO9Q7G196oPoK1PnGXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTZ1jGiGxgkHxUe3Znz3BTg,TRUE,none,0,2021-11-01T18:55:53Z,2021-11-01T18:55:53Z,UCTZ1jGiGxgkHxUe3Znz3BTg,UgzlWBskMUQ_k597q5F4AaABAg,0.4574824
11,3I0MwrU3iP0,"The statement that thousands of Californians are moving to Washoe(Reno) is why this is a wildcard.  Tesla, Apple, etc, started building plants out in Sparks.  This brought in the educated, liberal, socialist leaning workers from CA with CA wages driving up housing cost, plus builder started rebuilding after the recession, plus CA folks getting priced out of CA sought these new homes with no personal income tax, plus CA baby boomers retiring, plus COVID allowed Bay Area workers to remote work as long as they are 4 hours from HQ(Silicon Valley).  This is the perfect storm in Reno.  Cultural and idealogy clashes with Californians moving to Nevada, Arizona, Washington, Oregon, Idaho have conservative locals upset. Nice to visit,  please don&#39;t stay....","The statement that thousands of Californians are moving to Washoe(Reno) is why this is a wildcard.  Tesla, Apple, etc, started building plants out in Sparks.  This brought in the educated, liberal, socialist leaning workers from CA with CA wages driving up housing cost, plus builder started rebuilding after the recession, plus CA folks getting priced out of CA sought these new homes with no personal income tax, plus CA baby boomers retiring, plus COVID allowed Bay Area workers to remote work as long as they are 4 hours from HQ(Silicon Valley).  This is the perfect storm in Reno.  Cultural and idealogy clashes with Californians moving to Nevada, Arizona, Washington, Oregon, Idaho have conservative locals upset. Nice to visit,  please don't stay....",Peter Lee,https://yt3.ggpht.com/ytc/AL5GRJU8altrjiy57blxtNCZziRQ4dNItqwRbxG-yw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxEhaqdzWv3Z1z57Up24Ksg,TRUE,none,1,2021-11-01T18:35:46Z,2021-11-01T18:35:46Z,UCxEhaqdzWv3Z1z57Up24Ksg,UgxXWAJLaPqcf33Pl-d4AaABAg,0.079250954
12,3I0MwrU3iP0,"Reno, the Biggest little shithole in America...","Reno, the Biggest little shithole in America...",Maj_Cyric,https://yt3.ggpht.com/ytc/AL5GRJXwwQHRDhuhR4JHeSjXIAXaSWCN5U7K4AVwZCzf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcn0GFmTzHESLOp96aZVFtw,TRUE,none,0,2021-11-01T17:14:04Z,2021-11-01T17:14:04Z,UCcn0GFmTzHESLOp96aZVFtw,UgxB6pPLdFbLNyF78np4AaABAg,0.76523775
13,3I0MwrU3iP0,"<a href=""https://youtu.be/5dDb2Z4vreM?list=LL"">https://youtu.be/5dDb2Z4vreM?list=LL</a>",https://youtu.be/5dDb2Z4vreM?list=LL,john satterlee,https://yt3.ggpht.com/ytc/AL5GRJXrz__baFQnFYhaL7pu98IMOcHT7BXUrwA5KvN8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCui5LyyXthFgRIxm8s4gMYA,TRUE,none,0,2021-11-01T10:26:40Z,2021-11-01T10:26:40Z,UCui5LyyXthFgRIxm8s4gMYA,UgxH-DrbF_xij0ASOYh4AaABAg,0.011058134
14,3I0MwrU3iP0,I got same break down of Washoe county by watching Reno 911,I got same break down of Washoe county by watching Reno 911,John Farmer,https://yt3.ggpht.com/ytc/AL5GRJVgaghPBGideUzL2oTYmQBs_r0RribkXNx5Kw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJGJD4oU-coScwxZPKDoyuw,TRUE,none,1,2021-11-01T05:47:01Z,2021-11-01T05:47:01Z,UCJGJD4oU-coScwxZPKDoyuw,UgzTIqOTSl-WuaapYy54AaABAg,0.017592486
15,3I0MwrU3iP0,"AMERICAN PANDEMIC &amp; ANTI-VAXXERS ARE AN INTERNATIONAL JOKE.
<br>Population:      US 333M       NZ 5M   American population is 66 times larger than New Zealand. 
<br>Covid deaths:  US 766,266   NZ 28    American Covid deaths is 27,366 times larger than New Zealand.
<br>WTF:                 US parents protest about?         A: 184 school shootings in 10 years                B: Masks.","AMERICAN PANDEMIC & ANTI-VAXXERS ARE AN INTERNATIONAL JOKE.
Population:      US 333M       NZ 5M   American population is 66 times larger than New Zealand. 
Covid deaths:  US 766,266   NZ 28    American Covid deaths is 27,366 times larger than New Zealand.
WTF:                 US parents protest about?         A: 184 school shootings in 10 years                B: Masks.",DJ Pomare,https://yt3.ggpht.com/j1WLdrLMXrcysMGaUbgVfeGyXpdl7_FvY_tRo5o4ZKghIrnbr8jGiGJsa0QJVZB53dHsKVfVtIY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCRWmvf_zTupcfkUuPfoIjDg,TRUE,none,0,2021-10-31T23:10:31Z,2021-10-31T23:10:31Z,UCRWmvf_zTupcfkUuPfoIjDg,Ugy90NCUTbJlDEj2Jdx4AaABAg,0.42129645
